,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
10958,19900101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10959,19900102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10960,19900103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10961,19900104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10962,19900105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10963,19900106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10964,19900107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10965,19900108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10966,19900109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10967,19900110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10968,19900111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10969,19900112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10970,19900113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10971,19900114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10972,19900115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10973,19900116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10974,19900117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10975,19900118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10976,19900119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10977,19900120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10978,19900121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10979,19900122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10980,19900123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10981,19900124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10982,19900125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10983,19900126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10984,19900127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10985,19900128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10986,19900129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10987,19900130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10988,19900131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10989,19900201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10990,19900202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10991,19900203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10992,19900204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10993,19900205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10994,19900206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10995,19900207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10996,19900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10997,19900209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10998,19900210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999,19900211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,19900212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,19900213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11002,19900214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11003,19900215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,19900216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11005,19900217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11006,19900218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11007,19900219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11008,19900220,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11009,19900221,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11010,19900222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11011,19900223,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11012,19900224,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
11013,19900225,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11014,19900226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11015,19900227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11016,19900228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11017,19900301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11018,19900302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11019,19900303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11020,19900304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11021,19900305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11022,19900306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11023,19900307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11024,19900308,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11025,19900309,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11026,19900310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11027,19900311,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11028,19900312,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11029,19900313,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11030,19900314,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11031,19900315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11032,19900316,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
11033,19900317,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
11034,19900318,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0
11035,19900319,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
11036,19900320,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11037,19900321,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
11038,19900322,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11039,19900323,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
11040,19900324,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
11041,19900325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11042,19900326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11043,19900327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11044,19900328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11045,19900329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11046,19900330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11047,19900331,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
11048,19900401,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0
11049,19900402,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
11050,19900403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11051,19900404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11052,19900405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11053,19900406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11054,19900407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11055,19900408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11056,19900409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11057,19900410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11058,19900411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11059,19900412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11060,19900413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11061,19900414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11062,19900415,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11063,19900416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11064,19900417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11065,19900418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11066,19900419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11067,19900420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11068,19900421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11069,19900422,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11070,19900423,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11071,19900424,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11072,19900425,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
11073,19900426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11074,19900427,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11075,19900428,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11076,19900429,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
11077,19900430,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
11078,19900501,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
11079,19900502,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
11080,19900503,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
11081,19900504,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
11082,19900505,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
11083,19900506,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
11084,19900507,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
11085,19900508,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
11086,19900509,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0
11087,19900510,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
11088,19900511,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11089,19900512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11090,19900513,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
11091,19900514,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
11092,19900515,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
11093,19900516,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
11094,19900517,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1
11095,19900518,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
11096,19900519,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
11097,19900520,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
11098,19900521,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
11099,19900522,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
11100,19900523,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
11101,19900524,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
11102,19900525,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
11103,19900526,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
11104,19900527,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1
11105,19900528,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
11106,19900529,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0
11107,19900530,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0
11108,19900531,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
11109,19900601,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0
11110,19900602,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
11111,19900603,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11112,19900604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11113,19900605,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
11114,19900606,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
11115,19900607,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11116,19900608,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
11117,19900609,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
11118,19900610,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
11119,19900611,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
11120,19900612,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
11121,19900613,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11122,19900614,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11123,19900615,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11124,19900616,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0
11125,19900617,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
11126,19900618,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0
11127,19900619,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
11128,19900620,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
